REAL	IMAGINARY	LAYER	NEURON	INPUT
0.110103	1.000036	1	1	0
0.111003	1.999891	1	1	1
0.111938	2.999910	1	1	2
0.112897	3.999964	1	1	3
0.120047	5.000017	1	2	0
0.121001	5.999950	1	2	1
0.121971	6.999959	1	2	2
0.122953	7.999983	1	2	3
0.130029	9.000010	1	3	0
0.131001	9.999969	1	3	1
0.131982	10.999974	1	3	2
0.132971	11.999990	1	3	3
0.209959	13.000123	2	1	0
0.210961	13.999876	2	1	1
0.211961	14.999876	2	1	2
0.212961	15.999876	2	1	3
0.219968	17.000094	2	2	0
0.220970	17.999905	2	2	1
0.221970	18.999905	2	2	2
0.222970	19.999905	2	2	3
0.229975	21.000075	2	3	0
0.230976	21.999924	2	3	1
0.231976	22.999924	2	3	2
0.232976	23.999924	2	3	3
-0.142254	24.853054	3	1	0
0.311000	25.524472	3	1	1
0.312000	26.524472	3	1	2
0.313000	27.524472	3	1	3
